Year	OECD 	BRICS	Rest 	World
1750	0.292567272870736	0.105267463267142	0.035126514871131	0.432961251009009
1751	#N/A	#N/A	#N/A	#N/A
1752	#N/A	#N/A	#N/A	#N/A
1753	#N/A	#N/A	#N/A	#N/A
1754	#N/A	#N/A	#N/A	#N/A
1755	#N/A	#N/A	#N/A	#N/A
1756	#N/A	#N/A	#N/A	#N/A
1757	#N/A	#N/A	#N/A	#N/A
1758	#N/A	#N/A	#N/A	#N/A
1759	#N/A	#N/A	#N/A	#N/A
1760	#N/A	#N/A	#N/A	#N/A
1761	#N/A	#N/A	#N/A	#N/A
1762	#N/A	#N/A	#N/A	#N/A
1763	#N/A	#N/A	#N/A	#N/A
1764	#N/A	#N/A	#N/A	#N/A
1765	#N/A	#N/A	#N/A	#N/A
1766	#N/A	#N/A	#N/A	#N/A
1767	#N/A	#N/A	#N/A	#N/A
1768	#N/A	#N/A	#N/A	#N/A
1769	#N/A	#N/A	#N/A	#N/A
1770	#N/A	#N/A	#N/A	#N/A
1771	#N/A	#N/A	#N/A	#N/A
1772	#N/A	#N/A	#N/A	#N/A
1773	#N/A	#N/A	#N/A	#N/A
1774	#N/A	#N/A	#N/A	#N/A
1775	#N/A	#N/A	#N/A	#N/A
1776	#N/A	#N/A	#N/A	#N/A
1777	#N/A	#N/A	#N/A	#N/A
1778	#N/A	#N/A	#N/A	#N/A
1779	#N/A	#N/A	#N/A	#N/A
1780	#N/A	#N/A	#N/A	#N/A
1781	#N/A	#N/A	#N/A	#N/A
1782	#N/A	#N/A	#N/A	#N/A
1783	#N/A	#N/A	#N/A	#N/A
1784	#N/A	#N/A	#N/A	#N/A
1785	#N/A	#N/A	#N/A	#N/A
1786	#N/A	#N/A	#N/A	#N/A
1787	#N/A	#N/A	#N/A	#N/A
1788	#N/A	#N/A	#N/A	#N/A
1789	#N/A	#N/A	#N/A	#N/A
1790	#N/A	#N/A	#N/A	#N/A
1791	#N/A	#N/A	#N/A	#N/A
1792	#N/A	#N/A	#N/A	#N/A
1793	#N/A	#N/A	#N/A	#N/A
1794	#N/A	#N/A	#N/A	#N/A
1795	#N/A	#N/A	#N/A	#N/A
1796	#N/A	#N/A	#N/A	#N/A
1797	#N/A	#N/A	#N/A	#N/A
1798	#N/A	#N/A	#N/A	#N/A
1799	#N/A	#N/A	#N/A	#N/A
1800	#N/A	#N/A	#N/A	#N/A
1801	#N/A	#N/A	#N/A	#N/A
1802	#N/A	#N/A	#N/A	#N/A
1803	#N/A	#N/A	#N/A	#N/A
1804	#N/A	#N/A	#N/A	#N/A
1805	#N/A	#N/A	#N/A	#N/A
1806	#N/A	#N/A	#N/A	#N/A
1807	#N/A	#N/A	#N/A	#N/A
1808	#N/A	#N/A	#N/A	#N/A
1809	#N/A	#N/A	#N/A	#N/A
1810	#N/A	#N/A	#N/A	#N/A
1811	#N/A	#N/A	#N/A	#N/A
1812	#N/A	#N/A	#N/A	#N/A
1813	#N/A	#N/A	#N/A	#N/A
1814	#N/A	#N/A	#N/A	#N/A
1815	#N/A	#N/A	#N/A	#N/A
1816	#N/A	#N/A	#N/A	#N/A
1817	#N/A	#N/A	#N/A	#N/A
1818	#N/A	#N/A	#N/A	#N/A
1819	#N/A	#N/A	#N/A	#N/A
1820	0.389673797588778	0.139482705934875	0.0486452810795752	0.577801784603228
1821	0.0897177398110347	#N/A	#N/A	0.0897177398110347
1822	0.0875134089540612	#N/A	#N/A	0.0875134089540612
1823	0.0907913795167108	#N/A	#N/A	0.0907913795167108
1824	0.093895243545995	#N/A	#N/A	0.093895243545995
1825	0.0913124958752272	#N/A	#N/A	0.0913124958752272
1826	0.0931098415266606	#N/A	#N/A	0.0931098415266606
1827	0.0928205860650934	#N/A	#N/A	0.0928205860650934
1828	0.0939228743341328	#N/A	#N/A	0.0939228743341328
1829	0.0961181389422785	#N/A	#N/A	0.0961181389422785
1830	0.281560381162336	#N/A	#N/A	0.281560381162336
1831	0.166857448749519	#N/A	#N/A	0.166857448749519
1832	0.174213898817527	#N/A	#N/A	0.174213898817527
1833	0.174589163811603	#N/A	#N/A	0.174589163811603
1834	0.17830819126135	#N/A	#N/A	0.17830819126135
1835	0.185579784481335	#N/A	#N/A	0.185579784481335
1836	0.187803632279224	#N/A	#N/A	0.187803632279224
1837	0.188720992052738	#N/A	#N/A	0.188720992052738
1838	0.196987920055254	#N/A	#N/A	0.196987920055254
1839	0.198993291024546	#N/A	#N/A	0.198993291024546
1840	0.26198712655364	#N/A	#N/A	0.26198712655364
1841	0.204561512612016	#N/A	#N/A	0.204561512612016
1842	0.200901373361281	#N/A	#N/A	0.200901373361281
1843	0.207723984243424	#N/A	#N/A	0.207723984243424
1844	0.217422919735572	#N/A	#N/A	0.217422919735572
1845	0.219104560139188	#N/A	#N/A	0.219104560139188
1846	0.239555032013048	#N/A	#N/A	0.239555032013048
1847	0.25229666571394	#N/A	#N/A	0.25229666571394
1848	0.24799140654044	#N/A	#N/A	0.24799140654044
1849	0.254680382568479	#N/A	#N/A	0.254680382568479
1850	0.602034785639206	0.154041332382976	0.00938993550087594	0.765466053523058
1851	0.395657125713006	#N/A	#N/A	0.395657125713006
1852	0.404247335366954	#N/A	#N/A	0.404247335366954
1853	0.40358508958138	#N/A	#N/A	0.40358508958138
1854	0.415547085257254	#N/A	#N/A	0.415547085257254
1855	0.422949380050567	#N/A	#N/A	0.422949380050567
1856	0.439061981827042	#N/A	#N/A	0.439061981827042
1857	0.453331632908853	#N/A	#N/A	0.453331632908853
1858	0.465853468318165	#N/A	#N/A	0.465853468318165
1859	0.464571749794794	#N/A	#N/A	0.464571749794794
1860	0.621782304703453	#N/A	#N/A	0.621782304703453
1861	0.557222904149419	#N/A	#N/A	0.557222904149419
1862	0.573509458874064	#N/A	#N/A	0.573509458874064
1863	0.59007192041235	#N/A	#N/A	0.59007192041235
1864	0.603388100829909	#N/A	#N/A	0.603388100829909
1865	0.612131943726109	#N/A	#N/A	0.612131943726109
1866	0.623645946568982	#N/A	#N/A	0.623645946568982
1867	0.607499631031574	#N/A	#N/A	0.607499631031574
1868	0.635569668452666	#N/A	#N/A	0.635569668452666
1869	0.648405709337806	#N/A	#N/A	0.648405709337806
1870	0.974000179140692	0.144110268405892	0.118072369521161	1.23618281706775
1871	0.904372031634	0.011202010531974	0.0129955322695943	0.928569574435569
1872	0.942509424774971	0.0114729006384922	0.0132339464510704	0.967216271864533
1873	0.964541991123442	0.0117500541000745	0.013561779054181	0.989853824277698
1874	0.995611832965582	0.0120350367554867	0.0137587078206882	1.02140557754176
1875	1.02711120503543	0.012326282765963	0.0138305212523547	1.05326800905374
1876	1.0169981222548	0.0126237921315033	0.0142662189234108	1.04388813330971
1877	1.03875637053562	0.0129291306908735	0.0144776426573818	1.06616314388387
1878	1.05610094218071	0.0132422984440738	0.01431710326761	1.08366034389239
1879	1.06941641331975	0.0135632953911041	0.0145187476309194	1.09749845634177
1880	1.13485121988538	0.0138905556931984	0.0148883348369993	1.16363011041558
1881	1.15996129051181	0.0142272110278887	0.0157890140717719	1.18997751561148
1882	1.20460627990022	0.014571695556409	0.0155306307308256	1.23470860618745
1883	1.23073752242585	0.0149240092787593	0.0156411309949859	1.2613026626996
1884	1.24655255302971	0.0789537604499778	0.0169575617004247	1.34246387518012
1885	1.25497527776225	0.0817497270234834	0.0172726366208865	1.35399764140662
1886	1.28262370182597	0.0804539565276777	0.0172455425727681	1.38032320092641
1887	1.3259502529628	0.0842175227798178	0.0174412241105981	1.42760899985321
1888	1.34669775172821	0.0856846033569925	0.0179277388234789	1.45031009390869
1889	1.39301899103043	0.0846588084376326	0.0178577545296677	1.49553555399773
1890	1.51753040337199	0.16479573411018	0.0583125913379312	1.7406387288201
1891	1.44549099152762	0.0820868507015266	0.0181421204129389	1.54571996264208
1892	1.49165697884889	0.0866902440423496	0.0188651342164889	1.59721235710773
1893	1.4916331373302	0.0862760151631506	0.0195126179699342	1.59742177046328
1894	1.52333319973113	0.0877175155587442	0.0200335597909323	1.63108427508081
1895	1.60821158545744	0.0903551522664273	0.0204785650408652	1.71904530276473
1896	1.61015261787613	0.0837240049462372	0.022240549624547	1.71611717244691
1897	1.66588452068881	0.0958494772857557	0.0226585886812419	1.7843925866558
1898	1.74879230154676	0.0969280500912307	0.0229365429542692	1.86865689459226
1899	1.82527346872329	0.0909529686721347	0.0242717265785858	1.94049816397401
1900	1.98339813285366	0.174091565779997	0.1804707091552	2.33796040778886
1901	1.95249582843271	0.0966709291311671	0.0519151597747118	2.10108191733859
1902	1.9662071011632	0.102997055197775	0.0495820328071358	2.11878618916811
1903	2.03528985002946	0.104563465260841	0.0540791359443091	2.19393245123461
1904	2.05488804236213	0.105382760139854	0.055809629307435	2.21608043180942
1905	2.13475761116486	0.104505038259631	0.0586600214833088	2.2979226709078
1906	2.27002148214041	0.108995083162079	0.0662503711776479	2.44526693648014
1907	2.34511334874839	0.103917227674469	0.0628307833659031	2.51186135978876
1908	2.28790292206969	0.104872179866193	0.0658400888060145	2.4586151907419
1909	2.41773351070516	0.117869300207524	0.0685472735566358	2.60415008446932
1910	2.54676237165863	0.118256046492996	0.121923526005232	2.78694194415686
1911	2.55811925595545	0.120729549878492	0.0840009285614642	2.76284973439541
1912	2.65582269858517	0.122001928765013	0.0819151244799707	2.85973975183016
1913	2.90806229113612	0.225165862748805	0.344810276309906	3.47803843019483
1914	2.57655403693484	0.125089632611569	0.0807071813412047	2.78235085088761
1915	2.63682094123696	0.124176730174388	0.0810466417229772	2.84204431313432
1916	2.83018634544063	0.128270288985867	0.0914336591935951	3.04989029362009
1917	2.76313594783473	0.12903978118209	0.0840737583131369	2.97624948732995
1918	2.7789593391795	0.116226514916928	0.0899461019072536	2.98513195600368
1919	2.70956058091254	0.131888031231599	0.0942278877604635	2.9356764999046
1920	2.78988179299452	0.128313028374431	0.115755868287028	3.03395068965598
1921	2.80695847501207	0.135391002442197	0.125487472942301	3.06783695039657
1922	2.9942919283944	0.142475629965641	0.124148793699447	3.26091635205949
1923	3.13349747424423	0.142167287173906	0.130361938811059	3.40602670022919
1924	3.32736436577573	0.146640738881326	0.142745756331496	3.61675086098856
1925	3.48098415662389	0.148252050665152	0.147879312391262	3.77711551968031
1926	3.59195830777073	0.152199065342791	0.193157873226925	3.93731524634044
1927	3.70569637394257	0.155770899902407	0.192727858234072	4.05419513207905
1928	3.83984875362973	0.163528329246191	0.351949080215649	4.35532616309157
1929	4.04460774257874	0.269326107143646	0.378765895279556	4.69269974500195
1930	3.85699811950855	0.267805046963768	0.381347906322682	4.506151072795
1931	3.6408113961591	0.266909372960317	0.382403952590994	4.29012472171041
1932	3.44408814118693	0.273772859070711	0.361814845207275	4.07967584546492
1933	3.52317419484899	0.277882480782976	0.375306155220412	4.17636283085238
1934	3.68900030271186	0.27483887419205	0.401047302161273	4.36488647906519
1935	3.87516302591614	0.284315587998973	0.436199136100759	4.59567775001587
1936	4.14358104128826	0.301445849448224	0.4783191220204	4.92334601275689
1937	4.34699190245896	0.299560736410791	0.50369071657572	5.15024335544547
1938	4.34133052506502	0.300546996738952	0.533675612211132	5.17555313401511
1939	4.5779319295761	0.197265419345504	0.518076797945305	5.29327414686691
1940	4.66724541486327	0.201744321980994	0.489072517601668	5.35806225444593
1941	4.9776162881929	0.210174224869499	0.425155944159952	5.61294645722235
1942	5.34625852364694	0.206913447909102	0.371892726627187	5.92506469818323
1943	5.73916065452969	0.220877110147521	0.365706386589375	6.32574415126659
1944	5.84353298599642	0.221637256369089	0.379208759315881	6.44437900168139
1945	5.22015603188691	0.222605777114607	0.392047378824771	5.83480918782629
1946	4.65256888431636	0.227290121074605	0.415053867261858	5.29491287265282
1947	4.79436032731432	0.212210567863481	0.490330881021011	5.49690177619881
1948	5.12717241335217	0.222373855773727	0.580812951496925	5.93035922062282
1949	5.34797249033358	0.233208084311125	0.638021121534793	6.21920169617949
1950	5.82769947658174	0.387766897361303	1.00182828201083	7.21729465595387
1951	6.22988839169146	0.409924435199081	1.03754016677687	7.67735299366741
1952	6.49593905779271	0.436458226324151	1.08228443770615	8.01468172182301
1953	6.81755735914019	0.459750730711575	1.13889243060023	8.416200520452
1954	7.01749649434861	0.483373742488802	1.20132005890896	8.70219029574638
1955	7.49773475037679	0.51022146419667	1.27065462359608	9.27861083816954
1956	7.78954250364365	0.536020063950924	1.34941322853322	9.6749757961278
1957	8.0812565561608	0.562549381023957	1.41476856839392	10.0585745055787
1958	8.2099672310509	0.610157554946254	1.47837612536672	10.2985009113639
1959	8.69922665073197	0.638725448505708	1.51443293409911	10.8523850333368
1960	9.16164419888674	0.666838248965991	1.61775661549149	11.4462390633442
1961	9.58897631100648	0.667210017359248	1.69446455165377	11.9506508800195
1962	10.1301035160033	0.695599818542369	1.75352351268722	12.5792268472329
1963	10.635905627407	0.729751798316655	1.79840735432443	13.1640647800481
1964	11.3313998440902	0.779035479762758	1.95652382580363	14.0669591496566
1965	11.9224602042125	0.806977618881712	2.07512794953455	14.8045657726288
1966	12.5911177579601	0.852551492920748	2.17708561579133	15.6207548666722
1967	13.0971128325658	0.884049273164043	2.2602404100395	16.2414025157694
1968	13.8740070428504	0.92363215711795	2.40073693283734	17.1983761328057
1969	14.5268	1.74804	1.91009	18.18493
1970	14.93919	1.85513	2.02966	18.82398
1971	15.49397	1.97851	2.13901	19.61149
1972	16.32617	2.08745	2.25337	20.66699
1973	17.32546	2.22235	2.38097	21.92878
1974	17.55075	2.33895	2.53008	22.41978
1975	17.61219	2.43536	2.60465	22.6522
1976	18.44022	2.57714	2.78905	23.80641
1977	19.12131	2.66872	2.93646	24.72649
1978	19.9358	2.77901	3.00403	25.71884
1979	20.70634	2.90586	3.15664	26.76884
1980	21.00834	3.08718	3.22392	27.31944
1981	21.45659	3.14177	3.26624	27.8646
1982	21.52596	3.21806	3.28291	28.02693
1983	22.11364	3.2872	3.34406	28.7449
1984	23.13475	3.458	3.43465	30.0274
1985	24.02967	3.66617	3.46992	31.16576
1986	24.75334	3.90039	3.55525	32.20898
1987	25.59112	4.08023	3.6554	33.32675
1988	26.7668	4.26023	3.78278	34.80981
1989	27.80132	4.41655	3.88708	36.10495
1990	28.66372	4.39219	4.03865	37.09456
1991	29.02201	4.39255	4.10565	37.52021
1992	29.61897	4.31532	4.17958	38.11387
1993	30.03108	4.45451	4.25657	38.74216
1994	30.96237	4.6069	4.36091	39.93018
1995	31.7771	4.85674	4.50776	41.1416
1996	32.72832	5.08277	4.72759	42.53868
1997	33.88628	5.35145	4.93293	44.17066
1998	34.78421	5.51004	4.96221	45.25646
1999	35.90294	5.80207	5.04712	46.75213
2000	37.32551	6.17343	5.26401	48.76295
2001	37.80557	6.46636	5.39455	49.66648
2002	38.39501	6.83027	5.5103	50.73558
2003	39.18132	7.27912	5.7662	52.22664
2004	40.44542	7.86299	6.26353	54.57194
2005	41.53415	8.48857	6.64783	56.67055
2006	42.77743	9.26052	7.10676	59.14471
2007	43.90007	10.22175	7.5796	61.70142
2008	43.97898	10.9058	7.93304	62.81782
2009	42.4103	11.33024	7.99682	61.73736
2010	43.64891	12.3375	8.41602	64.40243
